ORD,Location,State,Region,INCLUDE,Size,NOM,Harvested_ha,Fallow_ha,Maize1960_ha,Maize1960_kg,MaizeIrr1960_ha,Maize1960_t,Maize1960_kgha,Fert_ha,Properties,Properties_ha,Cultiv_ha,Irrigated_ha,Humedad_ha,Temporal_ha,FPA_ha,Pasture_ha,Forest_ha,UncultivArable_ha,Inarable_ha
1,CALKINI,Campeche,,FALSE,Total,"CALKINI, CAMPECHE",4744,0,4714,2930000,0,2930,621.5528214,35,,,0,,,,,,,,
2,CALKINI,Campeche,,FALSE,Large,"CALKINI, CAMPECHE",481,0,454,354000,0,354,779.7356828,30,,,0,,,,,,,,
3,CALKINI,Campeche,,FALSE,Small,"CALKINI, CAMPECHE",2,0,0,0,0,0,,0,,,0,,,,,,,,
4,CALKINI,Campeche,,FALSE,Ejido,"CALKINI, CAMPECHE",4261,0,4260,2576000,0,2576,604.6948357,5,,,0,,,,,,,,
5,CAMPECHE,Campeche,,FALSE,Total,"CAMPECHE, CAMPECHE",5948,405,5487,4391000,10,4391,800.2551485,92,,,0,,,,,,,,
6,CAMPECHE,Campeche,,FALSE,Large,"CAMPECHE, CAMPECHE",3088,405,2640,2075000,4,2075,785.9848485,27,,,0,,,,,,,,
7,CAMPECHE,Campeche,,FALSE,Small,"CAMPECHE, CAMPECHE",2,0,1,1000,0,1,1000,0,,,0,,,,,,,,
8,CAMPECHE,Campeche,,FALSE,Ejido,"CAMPECHE, CAMPECHE",2858,0,2846,2315000,6,2315,813.4223472,65,,,0,,,,,,,,
9,CARMEN,Campeche,,FALSE,Total,"CARMEN, CAMPECHE",10699,287,10337,7606000,0,7606,735.8034246,119,,,0,,,,,,,,
10,CARMEN,Campeche,,FALSE,Large,"CARMEN, CAMPECHE",4264,107,4257,2923000,0,2923,686.6337797,11,,,0,,,,,,,,
11,CARMEN,Campeche,,FALSE,Small,"CARMEN, CAMPECHE",0,0,0,0,0,0,,0,,,0,,,,,,,,
12,CARMEN,Campeche,,FALSE,Ejido,"CARMEN, CAMPECHE",6435,180,6080,4683000,0,4683,770.2302632,108,,,0,,,,,,,,
13,CHAMPOTON,Campeche,,FALSE,Total,"CHAMPOTON, CAMPECHE",12874,30,12741,9691000,0,9691,760.6153363,51,,,0,,,,,,,,
14,CHAMPOTON,Campeche,,FALSE,Large,"CHAMPOTON, CAMPECHE",9279,30,9537,6241000,0,6241,654.3986579,6,,,0,,,,,,,,
15,CHAMPOTON,Campeche,,FALSE,Small,"CHAMPOTON, CAMPECHE",0,0,0,0,0,0,,0,,,0,,,,,,,,
16,CHAMPOTON,Campeche,,FALSE,Ejido,"CHAMPOTON, CAMPECHE",3595,0,3204,3450000,0,3450,1076.779026,45,,,0,,,,,,,,
17,HECELCHAKAN,Campeche,,FALSE,Total,"HECELCHAKAN, CAMPECHE",3318,18389,2831,1950000,0,1950,688.8025433,4,,,0,,,,,,,,
18,HECELCHAKAN,Campeche,,FALSE,Large,"HECELCHAKAN, CAMPECHE",229,2000,219,154000,0,154,703.196347,3,,,0,,,,,,,,
19,HECELCHAKAN,Campeche,,FALSE,Small,"HECELCHAKAN, CAMPECHE",0,0,0,0,0,0,,0,,,0,,,,,,,,
20,HECELCHAKAN,Campeche,,FALSE,Ejido,"HECELCHAKAN, CAMPECHE",3089,16389,2612,1796000,0,1796,687.5957121,1,,,0,,,,,,,,
21,HOPELCHEN,Campeche,,FALSE,Total,"HOPELCHEN, CAMPECHE",5578,80,5454,3586000,0,3586,657.4990832,53,,,0,,,,,,,,
22,HOPELCHEN,Campeche,,FALSE,Large,"HOPELCHEN, CAMPECHE",1163,80,1143,740000,0,740,647.4190726,8,,,0,,,,,,,,
23,HOPELCHEN,Campeche,,FALSE,Small,"HOPELCHEN, CAMPECHE",0,0,0,0,0,0,,0,,,0,,,,,,,,
24,HOPELCHEN,Campeche,,FALSE,Ejido,"HOPELCHEN, CAMPECHE",4415,0,4311,2846000,0,2846,660.1716539,45,,,0,,,,,,,,
25,PALIZADA,Campeche,,FALSE,Total,"PALIZADA, CAMPECHE",1880,30,492,426000,0,426,865.8536585,91,,,0,,,,,,,,
26,PALIZADA,Campeche,,FALSE,Large,"PALIZADA, CAMPECHE",1473,30,178,114000,0,114,640.4494382,81,,,0,,,,,,,,
27,PALIZADA,Campeche,,FALSE,Small,"PALIZADA, CAMPECHE",23,0,20,18000,0,18,900,0,,,0,,,,,,,,
28,PALIZADA,Campeche,,FALSE,Ejido,"PALIZADA, CAMPECHE",384,0,294,294000,0,294,1000,10,,,0,,,,,,,,
29,TENABO,Campeche,,FALSE,Total,"TENABO, CAMPECHE",2758,12629,1275,942000,0,942,738.8235294,86,,,0,,,,,,,,
30,TENABO,Campeche,,FALSE,Large,"TENABO, CAMPECHE",1723,0,240,163000,0,163,679.1666667,86,,,0,,,,,,,,
31,TENABO,Campeche,,FALSE,Small,"TENABO, CAMPECHE",0,0,0,0,0,0,,0,,,0,,,,,,,,
32,TENABO,Campeche,,FALSE,Ejido,"TENABO, CAMPECHE",1035,12629,1035,779000,0,779,752.6570048,0,,,0,,,,,,,,
33,ACACOYAGUA,Chiapas,,FALSE,Total,"ACACOYAGUA, CHIAPAS",924,1798,800,668000,0,668,835,72,,,0,,,,,,,,
34,ACACOYAGUA,Chiapas,,FALSE,Large,"ACACOYAGUA, CHIAPAS",146,167,108,103000,0,103,953.7037037,4,,,0,,,,,,,,
35,ACACOYAGUA,Chiapas,,FALSE,Small,"ACACOYAGUA, CHIAPAS",0,0,0,0,0,0,,0,,,0,,,,,,,,
36,ACACOYAGUA,Chiapas,,FALSE,Ejido,"ACACOYAGUA, CHIAPAS",778,1631,692,565000,0,565,816.4739884,68,,,0,,,,,,,,
37,ACALA,Chiapas,,FALSE,Total,"ACALA, CHIAPAS",6880,45,6493,6508000,35,6508,1002.31018,2744,,,0,,,,,,,,
38,ACALA,Chiapas,,FALSE,Large,"ACALA, CHIAPAS",5509,45,5169,5336000,20,5336,1032.30799,22,,,0,,,,,,,,
39,ACALA,Chiapas,,FALSE,Small,"ACALA, CHIAPAS",230,0,194,317000,4,317,1634.020619,0,,,0,,,,,,,,
40,ACALA,Chiapas,,FALSE,Ejido,"ACALA, CHIAPAS",1141,0,1130,855000,11,855,756.6371681,2722,,,0,,,,,,,,
41,ACAPETAHUA,Chiapas,,FALSE,Total,"ACAPETAHUA, CHIAPAS",2289,1207,1954,1800000,229,1800,921.1873081,316,,,0,,,,,,,,
42,ACAPETAHUA,Chiapas,,FALSE,Large,"ACAPETAHUA, CHIAPAS",826,164,778,826000,0,826,1061.696658,16,,,0,,,,,,,,
43,ACAPETAHUA,Chiapas,,FALSE,Small,"ACAPETAHUA, CHIAPAS",0,0,0,0,0,0,,0,,,0,,,,,,,,
44,ACAPETAHUA,Chiapas,,FALSE,Ejido,"ACAPETAHUA, CHIAPAS",1463,1043,1176,974000,229,974,828.2312925,300,,,0,,,,,,,,
45,ALTAMIRANO,Chiapas,,FALSE,Total,"ALTAMIRANO, CHIAPAS",2373,2230,1976,1817000,1,1817,919.534413,2,,,0,,,,,,,,
46,ALTAMIRANO,Chiapas,,FALSE,Large,"ALTAMIRANO, CHIAPAS",669,215,709,659000,1,659,929.4781382,2,,,0,,,,,,,,
47,ALTAMIRANO,Chiapas,,FALSE,Small,"ALTAMIRANO, CHIAPAS",10,0,7,9000,0,9,1285.714286,0,,,0,,,,,,,,
48,ALTAMIRANO,Chiapas,,FALSE,Ejido,"ALTAMIRANO, CHIAPAS",1694,2015,1260,1149000,0,1149,911.9047619,0,,,0,,,,,,,,
49,AMATAN,Chiapas,,FALSE,Total,"AMATAN, CHIAPAS",2731,1043,2215,1523000,0,1523,687.5846501,58,,,0,,,,,,,,
50,AMATAN,Chiapas,,FALSE,Large,"AMATAN, CHIAPAS",585,60,449,336000,0,336,748.3296214,58,,,0,,,,,,,,
51,AMATAN,Chiapas,,FALSE,Small,"AMATAN, CHIAPAS",16,0,4,3000,0,3,750,0,,,0,,,,,,,,
52,AMATAN,Chiapas,,FALSE,Ejido,"AMATAN, CHIAPAS",2130,983,1762,1184000,0,1184,671.9636776,0,,,0,,,,,,,,
53,AMATENANGO DE LA FRONTERA,Chiapas,,FALSE,Total,"AMATENANGO DE LA FRONTERA, CHIAPAS",2274,1063,1853,1630000,166,1630,879.6546141,0,,,0,,,,,,,,
54,AMATENANGO DE LA FRONTERA,Chiapas,,FALSE,Large,"AMATENANGO DE LA FRONTERA, CHIAPAS",65,78,50,65000,42,65,1300,0,,,0,,,,,,,,
55,AMATENANGO DE LA FRONTERA,Chiapas,,FALSE,Small,"AMATENANGO DE LA FRONTERA, CHIAPAS",0,0,0,0,0,0,,0,,,0,,,,,,,,
56,AMATENANGO DE LA FRONTERA,Chiapas,,FALSE,Ejido,"AMATENANGO DE LA FRONTERA, CHIAPAS",2209,985,1803,1565000,124,1565,867.9977815,0,,,0,,,,,,,,
57,AMATENANGO DEL VALLE,Chiapas,,FALSE,Total,"AMATENANGO DEL VALLE, CHIAPAS",1164,3,763,714000,222,714,935.7798165,1,,,0,,,,,,,,
58,AMATENANGO DEL VALLE,Chiapas,,FALSE,Large,"AMATENANGO DEL VALLE, CHIAPAS",215,3,182,164000,6,164,901.0989011,1,,,0,,,,,,,,
59,AMATENANGO DEL VALLE,Chiapas,,FALSE,Small,"AMATENANGO DEL VALLE, CHIAPAS",219,0,182,200000,176,200,1098.901099,0,,,0,,,,,,,,
60,AMATENANGO DEL VALLE,Chiapas,,FALSE,Ejido,"AMATENANGO DEL VALLE, CHIAPAS",730,0,399,350000,40,350,877.1929825,0,,,0,,,,,,,,
61,ANGEL ALBINO CORZO,Chiapas,,FALSE,Total,"ANGEL ALBINO CORZO, CHIAPAS",2125,1620,1849,1568000,0,1568,848.02596,55,,,0,,,,,,,,
