ORD,Municipio,Name,State,Region,INCLUDE,NOM,Yield,Series
1,ACAMBAY,Acambay,Mexico,N TOL,TRUE,"ACAMBAY, MEXICO",786.1,1991 AG Census
2,ACOLMAN,Acolman,Mexico,BOM,TRUE,"ACOLMAN, MEXICO",1323.5,1991 AG Census
3,ACULCO,Aculco,Mexico,N TOL,TRUE,"ACULCO, MEXICO",774.2,1991 AG Census
5,ALMOLOYA DE JUAREZ,Almoloya de Juarez,Mexico,Toluca,TRUE,"ALMOLOYA DE JUAREZ, MEXICO",1373.9,1991 AG Census
6,ALMOLOYA DEL RIO,Almoloya del Rio,Mexico,Toluca,TRUE,"ALMOLOYA DEL RIO, MEXICO",1394,1991 AG Census
9,AMECAMECA,Amecameca,Mexico,BOM,TRUE,"AMECAMECA, MEXICO",1500.7,1991 AG Census
10,APAXCO,Apaxco,Mexico,BOM,TRUE,"APAXCO, MEXICO",1721,1991 AG Census
11,ATENGO,Atenco,Mexico,BOM,TRUE,"ATENCO, MEXICO",1104.9,1991 AG Census
12,ATIZAPAN,Atizapan,Mexico,Toluca,TRUE,"ATIZAPAN, MEXICO",2099.8,1991 AG Census
13,ATIZAPAN DE ZARAGOZA,Atizapan de Zaragoza,Mexico,BOM,TRUE,"ATIZAPAN DE ZARAGOZA, MEXICO",1457,1991 AG Census
14,ATLACOMULCO,Atlacomulco,Mexico,Toluca,TRUE,"ATLACOMULCO, MEXICO",1439.7,1991 AG Census
15,ATLAUTLA,Atlautla,Mexico,BOM,TRUE,"ATLAUTLA, MEXICO",1063.5,1991 AG Census
16,AXAPUSCO,Axapusco,Mexico,BOM,TRUE,"AXAPUSCO, MEXICO",692.1,1991 AG Census
17,AYAPANGO,Ayapango,Mexico,BOM,TRUE,"AYAPANGO, MEXICO",1615,1991 AG Census
18,CALIMAYA,Calimaya,Mexico,Toluca,TRUE,"CALIMAYA, MEXICO",2801.9,1991 AG Census
19,CAPULHUAC,Capulhuac,Mexico,Toluca,TRUE,"CAPULHUAC, MEXICO",2002.1,1991 AG Census
20,COACALCO,Coacalco de Berriozabal,Mexico,BOM,TRUE,"COACALCO DE BERRIOZABAL, MEXICO",2223.4,1991 AG Census
21,COATEPEC HARINAS,Coatepec Harinas,Mexico,Toluca,TRUE,"COATEPEC HARINAS, MEXICO",1235.7,1991 AG Census
22,COCOTITLAN,Cocotitlan,Mexico,BOM,TRUE,"COCOTITLAN, MEXICO",1753.7,1991 AG Census
23,COYOTEPEC,Coyotepec,Mexico,BOM,TRUE,"COYOTEPEC, MEXICO",1528.4,1991 AG Census
24,CUAUTITLAN,Cuautitlan,Mexico,BOM,TRUE,"CUAUTITLAN, MEXICO",2646.6,1991 AG Census
25,CHALCO,Chalco,Mexico,BOM,TRUE,"CHALCO, MEXICO",1240.9,1991 AG Census
26,CHAPA DE MOTA,Chapa de Mota,Mexico,N TOL,TRUE,"CHAPA DE MOTA, MEXICO",1212,1991 AG Census
27,CHAPULTEPEC,Chapultepec,Mexico,BOM,TRUE,"CHAPULTEPEC, MEXICO",2343.9,1991 AG Census
28,CHIAUTLA,Chiautla,Mexico,BOM,TRUE,"CHIAUTLA, MEXICO",1886.5,1991 AG Census
29,CHICOLOAPAN,Chicoloapan,Mexico,BOM,TRUE,"CHICOLOAPAN, MEXICO",1819.5,1991 AG Census
30,CHICONCUAC,Chiconcuac,Mexico,BOM,TRUE,"CHICONCUAC, MEXICO",2068.4,1991 AG Census
31,CHIMALHUACAN,Chimalhuacan,Mexico,BOM,TRUE,"CHIMALHUACAN, MEXICO",1246.5,1991 AG Census
33,ECATEPEC,Ecatepec de Morelos,Mexico,BOM,TRUE,"ECATEPEC DE MORELOS, MEXICO",2254.5,1991 AG Census
34,ECATZINGO,Ecatzingo,Mexico,BOM,TRUE,"ECATZINGO, MEXICO",794.1,1991 AG Census
35,HUEHUETOCA,Huehuetoca,Mexico,BOM,TRUE,"HUEHUETOCA, MEXICO",1726.7,1991 AG Census
36,HUEYPOXTLA,Hueypoxtla,Mexico,BOM,TRUE,"HUEYPOXTLA, MEXICO",1221.6,1991 AG Census
37,HUIXQUILUCAN,Huixquilucan,Mexico,BOM,TRUE,"HUIXQUILUCAN, MEXICO",1148.8,1991 AG Census
38,ISIDRO FABELA,Isidro Fabela,Mexico,BOM,TRUE,"ISIDRO FABELA, MEXICO",965.3,1991 AG Census
39,IXTAPALUCA,Ixtapaluca,Mexico,BOM,TRUE,"IXTAPALUCA, MEXICO",1296.7,1991 AG Census
40,IXTAPAN DE LA SAL,Ixtapan de la Sal,Mexico,SSW MOR-TOL,TRUE,"IXTAPAN DE LA SAL, MEXICO",1050.7,1991 AG Census
42,IXTLAHUACA,Ixtlahuaca,Mexico,Toluca,TRUE,"IXTLAHUACA, MEXICO",1728.8,1991 AG Census
43,JALATLACO,Xalatlaco,Mexico,Toluca,TRUE,"XALATLACO, MEXICO",1640.8,1991 AG Census
44,JALTENCO,Jaltenco,Mexico,BOM,TRUE,"JALTENCO, MEXICO",1232.9,1991 AG Census
45,JILOTEPEC,Jilotepec,Mexico,N TOL,TRUE,"JILOTEPEC, MEXICO",896.1,1991 AG Census
46,JILOTZINGO,Jilotzingo,Mexico,BOM,TRUE,"JILOTZINGO, MEXICO",1415.6,1991 AG Census
47,JIQUIPILCO,Jiquipilco,Mexico,Toluca,TRUE,"JIQUIPILCO, MEXICO",1714.6,1991 AG Census
48,JOCOTITLAN,Jocotitlan,Mexico,Toluca,TRUE,"JOCOTITLAN, MEXICO",1945.9,1991 AG Census
49,JOQUICINGO,Joquicingo,Mexico,Toluca,TRUE,"JOQUICINGO, MEXICO",1401.3,1991 AG Census
50,JUCHITEPEC,Juchitepec,Mexico,BOM,TRUE,"JUCHITEPEC, MEXICO",1507.9,1991 AG Census
51,LERMA,Lerma,Mexico,Toluca,TRUE,"LERMA, MEXICO",1981.1,1991 AG Census
52,MALINALCO,Malinalco,Mexico,SSW MOR-TOL,TRUE,"MALINALCO, MEXICO",1118,1991 AG Census
53,MELCHOR OCAMPO,Melchor Ocampo,Mexico,BOM,TRUE,"MELCHOR OCAMPO, MEXICO",1963.2,1991 AG Census
54,METEPEC,Metepec,Mexico,Toluca,TRUE,"METEPEC, MEXICO",2895.4,1991 AG Census
55,MEXICALCINGO,Mexicaltzingo,Mexico,BOM,TRUE,"MEXICALTZINGO, MEXICO",2062.7,1991 AG Census
56,MORELOS,Morelos,Mexico,Toluca,TRUE,"MORELOS, MEXICO",1001.5,1991 AG Census
57,NAUCALPAN,Naucalpan de Juarez,Mexico,BOM,TRUE,"NAUCALPAN DE JUAREZ, MEXICO",1222.9,1991 AG Census
58,NEZAHUALCOYOTL,Nezahualcoyotl,Mexico,BOM,TRUE,,,1991 AG Census
59,NEXTLALPAN,Nextlalpan,Mexico,BOM,TRUE,"NEXTLALPAN, MEXICO",1639.9,1991 AG Census
60,NICOLAS ROMERO,Nicolas Romero,Mexico,BOM,TRUE,"NICOLAS ROMERO, MEXICO",895.3,1991 AG Census
61,NOPALTEPEC,Nopaltepec,Mexico,BOM,TRUE,"NOPALTEPEC, MEXICO",897,1991 AG Census
62,OCOYOACAC,Ocoyoacac,Mexico,Toluca,TRUE,"OCOYOACAC, MEXICO",1821.5,1991 AG Census
63,OCUILAN,Ocuilan,Mexico,SSW MOR-TOL,TRUE,"OCUILAN, MEXICO",1392.3,1991 AG Census
64,"ORO, EL",El Oro,Mexico,N TOL,TRUE,"EL ORO, MEXICO",1001.4,1991 AG Census
65,OTUMBA,Otumba,Mexico,BOM,TRUE,"OTUMBA, MEXICO",809.4,1991 AG Census
67,OTZOLOTEPEC,Otzolotepec,Mexico,Toluca,TRUE,"OTZOLOTEPEC, MEXICO",2180.5,1991 AG Census
68,OZUMBA,Ozumba,Mexico,BOM,TRUE,"OZUMBA, MEXICO",1573.9,1991 AG Census
69,PAPALOTLA,Papalotla,Mexico,BOM,TRUE,"PAPALOTLA, MEXICO",1142,1991 AG Census
70,"PAZ, LA",La Paz,Mexico,BOM,TRUE,"LA PAZ, MEXICO",1210.4,1991 AG Census
71,POLOTITLAN,Polotitlan,Mexico,N TOL,TRUE,"POLOTITLAN, MEXICO",972.9,1991 AG Census
72,RAYON,Rayon,Mexico,Toluca,TRUE,"RAYON, MEXICO",2333.6,1991 AG Census
73,SAN ANTONIO LA ISLA,San Antonio La Isla,Mexico,Toluca,TRUE,"SAN ANTONIO LA ISLA, MEXICO",2143.1,1991 AG Census
74,SAN FELIPE DEL PROGRESO,San Felipe del Progreso,Mexico,Toluca,TRUE,"SAN FELIPE DEL PROGRESO, MEXICO",1109.2,1991 AG Census
75,SAN MARTIN DE LAS PIRAMIDES,San Martin de las Piramides,Mexico,BOM,TRUE,"SAN MARTIN DE LAS PIRAMIDES, MEXICO",1050.6,1991 AG Census
76,SAN MATEO ATENGO,San Mateo Atenco,Mexico,Toluca,TRUE,"SAN MATEO ATENCO, MEXICO",2861.5,1991 AG Census
79,SOYANIQUILPAN DE JUAREZ,Soyaniquilpan de Juarez,Mexico,N TOL,TRUE,"SOYANIQUILPAN DE JUAREZ, MEXICO",956.7,1991 AG Census
81,TECAMAC,Tecamac,Mexico,BOM,TRUE,"TECAMAC, MEXICO",2084,1991 AG Census
83,TEMAMATLA,Temamatla,Mexico,BOM,TRUE,"TEMAMATLA, MEXICO",1391.2,1991 AG Census
84,TEMASCALAPA,Temascalapa,Mexico,BOM,TRUE,"TEMASCALAPA, MEXICO",742.7,1991 AG Census
85,TEMASCALCINGO,Temascalcingo,Mexico,N TOL,TRUE,"TEMASCALCINGO, MEXICO",1446.6,1991 AG Census
87,TEMOAYA,Temoaya,Mexico,Toluca,TRUE,"TEMOAYA, MEXICO",2088.9,1991 AG Census
88,TENANCINGO,Tenancingo,Mexico,Toluca,TRUE,"TENANCINGO, MEXICO",1142.7,1991 AG Census
89,TENANGO DEL AIRE,Tenango del Aire,Mexico,BOM,TRUE,"TENANGO DEL AIRE, MEXICO",1778.3,1991 AG Census
90,TENANGO DEL VALLE,Tenango del Valle,Mexico,Toluca,TRUE,"TENANGO DEL VALLE, MEXICO",1843.5,1991 AG Census
91,TEOLOYUCAN,Teoloyucan,Mexico,BOM,TRUE,"TEOLOYUCAN, MEXICO",1402.2,1991 AG Census
92,TEOTIHUACAN,Teotihuacan,Mexico,BOM,TRUE,"TEOTIHUACAN, MEXICO",1663.6,1991 AG Census
93,TEPETLAOXTOC,Tepetlaoxtoc,Mexico,BOM,TRUE,"TEPETLAOXTOC, MEXICO",700.9,1991 AG Census
94,TEPETLIXPA,Tepetlixpa,Mexico,BOM,TRUE,"TEPETLIXPA, MEXICO",1111.8,1991 AG Census
95,TEPOTZOTLAN,Tepotzotlan,Mexico,BOM,TRUE,"TEPOTZOTLAN, MEXICO",857,1991 AG Census
96,TEQUIXQUIAC,Tequixquiac,Mexico,BOM,TRUE,"TEQUIXQUIAC, MEXICO",1587.3,1991 AG Census
98,TEXCALYACAC,Texcalyacac,Mexico,Toluca,TRUE,"TEXCALYACAC, MEXICO",1633.5,1991 AG Census
99,TEXCOCO,Texcoco,Mexico,BOM,TRUE,"TEXCOCO, MEXICO",1649.6,1991 AG Census
100,TEZOYUCA,Tezoyuca,Mexico,BOM,TRUE,"TEZOYUCA, MEXICO",1736.8,1991 AG Census
101,TIANGUISTENCO,Tianguistenco,Mexico,Toluca,TRUE,"TIANGUISTENCO, MEXICO",1476.7,1991 AG Census
102,TIMILPAN,Timilpan,Mexico,N TOL,TRUE,"TIMILPAN, MEXICO",1085.1,1991 AG Census
103,TLALMANALCO,Tlalmanalco,Mexico,BOM,TRUE,"TLALMANALCO, MEXICO",1544.5,1991 AG Census
104,TLALNEPANTLA,Tlalnepantla de Baz,Mexico,BOM,TRUE,"TLALNEPANTLA DE BAZ, MEXICO",632.9,1991 AG Census
106,TOLUCA,Toluca,Mexico,Toluca,TRUE,"TOLUCA, MEXICO",1997.4,1991 AG Census
107,TONATICO,Tonatico,Mexico,SSW MOR-TOL,TRUE,"TONATICO, MEXICO",1800.5,1991 AG Census
108,TULTEPEC,Tultepec,Mexico,BOM,TRUE,"TULTEPEC, MEXICO",1780.8,1991 AG Census
109,TULTITLAN,Tultitlan,Mexico,BOM,TRUE,"TULTITLAN, MEXICO",2298.1,1991 AG Census
112,VILLA DEL CARBON,Villa del Carbon,Mexico,BOM,TRUE,"VILLA DEL CARBON, MEXICO",1042.4,1991 AG Census
113,VILLA GUERRERO,Villa Guerrero,Mexico,Toluca,TRUE,"VILLA GUERRERO, MEXICO",1467.1,1991 AG Census
114,VILLA VICTORIA,Villa Victoria,Mexico,Toluca,TRUE,"VILLA VICTORIA, MEXICO",996.5,1991 AG Census
115,XONACATLAN,Xonacatlan,Mexico,BOM,TRUE,"XONACATLAN, MEXICO",1662.4,1991 AG Census
118,ZINACANTEPEC,Zinacantepec,Mexico,Toluca,TRUE,"ZINACANTEPEC, MEXICO",1783.3,1991 AG Census
119,ZUMPAHUACAN,Zumpahuacan,Mexico,SSW MOR-TOL,TRUE,"ZUMPAHUACAN, MEXICO",1021.7,1991 AG Census
120,ZUMPANGO,Zumpango,Mexico,BOM,TRUE,"ZUMPANGO, MEXICO",1713.3,1991 AG Census
121,CUAUTITLAN IZCALLI,Cuautitlan Izcalli,Mexico,BOM,TRUE,,1581.2,1991 AG Census
122,AZCAPOTZALCO,Azcapotzalco,Distrito Federal,BOM,TRUE,"AZCAPOTZALCO, DISTRITO FEDERAL",,1991 AG Census
123,COYOACAN,Coyoacan,Distrito Federal,BOM,TRUE,"COYOACAN, DISTRITO FEDERAL",1915.6,1991 AG Census
124,CUAJIMALPA DE MORELOS,Cuajimalpa de Morelos,Distrito Federal,BOM,TRUE,"CUAJIMALPA DE MORELOS, DISTRITO FEDERAL",1300.9,1991 AG Census
125,GUSTAVO A. MADERO,Gustavo A. Madero,Distrito Federal,BOM,TRUE,"GUSTAVO A. MADERO, DISTRITO FEDERAL",485.9,1991 AG Census
126,IZTACALCO,,Distrito Federal,,TRUE,,,1991 AG Census
127,IZTAPALAPA,Iztapalapa,Distrito Federal,BOM,TRUE,"IZTAPALAPA, DISTRITO FEDERAL",948.9,1991 AG Census
128,"MAGDALENA CONTRERAS, LA",La Magdalena Contreras,Distrito Federal,BOM,TRUE,"LA MAGDALENA CONTRERAS, DISTRITO FEDERAL",1290.3,1991 AG Census
129,MILPAALTA,Milpa Alta,Distrito Federal,BOM,TRUE,"MILPA ALTA, DISTRITO FEDERAL",1027,1991 AG Census
130,ALVARO OBREGON,alvaro Obregon,Distrito Federal,BOM,TRUE,"ALVARO OBREGON, DISTRITO FEDERAL",1248.2,1991 AG Census
131,TLAHUAC,Tlahuac,Distrito Federal,BOM,TRUE,"TLAHUAC, DISTRITO FEDERAL",1108.3,1991 AG Census
132,TLALPAN,Tlalpan,Distrito Federal,BOM,TRUE,"TLALPAN, DISTRITO FEDERAL",1242.8,1991 AG Census
133,XOCHIMILCO,Xochimilco,Distrito Federal,BOM,TRUE,"XOCHIMILCO, DISTRITO FEDERAL",1183.8,1991 AG Census
134,BENITO JUAREZ,,Distrito Federal,,TRUE,,,1991 AG Census
135,CUAUHTEMOC,,Distrito Federal,,TRUE,,,1991 AG Census
136,MIGUEL HIDALGO,Miguel Hidalgo,Distrito Federal,BOM,TRUE,"MIGUEL HIDALGO, DISTRITO FEDERAL",,1991 AG Census
137,VENUSTIANO CARRANZA,Venustiano Carranza,Distrito Federal,BOM,TRUE,"MIGUEL HIDALGO, DISTRITO FEDERAL",,1991 AG Census
139,ATLATLAHUCAN,Atlatlahucan,Morelos,Northern Morelos,TRUE,"ATLATLAHUCAN, MORELOS",994.5,1991 AG Census
141,AYALA,Ayala,Morelos,Northern Morelos,TRUE,"AYALA, MORELOS",1888.6,1991 AG Census
142,COATLAN DEL RIO,Coatlan del Rio,Morelos,Northern Morelos,TRUE,"COATLAN DEL RIO, MORELOS",1221.3,1991 AG Census
143,CUAUTLA,Cuautla,Morelos,Northern Morelos,TRUE,"CUAUTLA, MORELOS",1946.8,1991 AG Census
