Num,Municipio,Name,State,Region,INCLUDE,NOM,ProductionUnits,Planted_ha,Harvested_ha,Yield
276,"Azcapotzalco, Distrito Federal",Azcapotzalco,Distrito Federal,BOM,TRUE,"AZCAPOTZALCO, DISTRITO FEDERAL",C,1,1,2937.5
277,"Coyoacan, Distrito Federal",Coyoacan,Distrito Federal,BOM,TRUE,"COYOACAN, DISTRITO FEDERAL",,,,
278,"Cuajimalpa de Morelos, Distrito Federal",Cuajimalpa de Morelos,Distrito Federal,BOM,TRUE,"CUAJIMALPA DE MORELOS, DISTRITO FEDERAL",C,35.9768,35.5183,3083.174026
279,"Gustavo A. Madero, Distrito Federal",Gustavo A. Madero,Distrito Federal,BOM,TRUE,"GUSTAVO A. MADERO, DISTRITO FEDERAL",,,,
280,"Iztapalapa, Distrito Federal",Iztapalapa,Distrito Federal,BOM,TRUE,"IZTAPALAPA, DISTRITO FEDERAL",C,0.06,0.06,1763.333333
281,"La Magdalena Contreras, Distrito Federal",La Magdalena Contreras,Distrito Federal,BOM,TRUE,"LA MAGDALENA CONTRERAS, DISTRITO FEDERAL",C,201.2238,190.3798,2778.74806
282,"Milpa Alta, Distrito Federal",Milpa Alta,Distrito Federal,BOM,TRUE,"MILPA ALTA, DISTRITO FEDERAL",1900,1774.2339,1548.9476,2390.108097
283,"Alvaro Obregon, Distrito Federal",Alvaro Obregon,Distrito Federal,BOM,TRUE,"ALVARO OBREGON, DISTRITO FEDERAL",C,64.2737,61.7588,5564.515502
284,"Tlahuac, Distrito Federal",Tlahuac,Distrito Federal,BOM,TRUE,"TLAHUAC, DISTRITO FEDERAL",1304,1008.585,832.085,3375.622442
285,"Tlalpan, Distrito Federal",Tlalpan,Distrito Federal,BOM,TRUE,"TLALPAN, DISTRITO FEDERAL",701,1655.2451,1498.4195,2960.835067
286,"Xochimilco, Distrito Federal",Xochimilco,Distrito Federal,BOM,TRUE,"XOCHIMILCO, DISTRITO FEDERAL",955,782.5238,630.2155,2553.18046
287,"Miguel Hidalgo, Distrito Federal",Miguel Hidalgo,Distrito Federal,BOM,TRUE,"MIGUEL HIDALGO, DISTRITO FEDERAL",C,0.15,0.15,1813.333333
288,"Venustiano Carranza, Distrito Federal",Venustiano Carranza,Distrito Federal,BOM,TRUE,"MIGUEL HIDALGO, DISTRITO FEDERAL",C,6,1,2190
463,"Ajacuba, Hidalgo",Ajacuba,Hidalgo,,TRUE,"AJACUBA, HIDALGO",1495,3405.3599,3221.3604,4554.114529
465,"Almoloya, Hidalgo",Almoloya,Hidalgo,,TRUE,"ALMOLOYA, HIDALGO",607,1485.2682,1378.5374,1630.123202
466,"Apan, Hidalgo",Apan,Hidalgo,,TRUE,"APAN, HIDALGO",1312,3731.1425,3534.1261,1602.4993
468,"Atitalaquia, Hidalgo",Atitalaquia,Hidalgo,,TRUE,"ATITALAQUIA, HIDALGO",922,1290.7622,1258.9638,8275.054056
471,"Atotonilco de Tula, Hidalgo",Atotonilco de Tula,Hidalgo,,TRUE,"ATOTONILCO DE TULA, HIDALGO",1502,2995.3346,2668.8539,2448.312626
479,"Emiliano Zapata, Hidalgo",Emiliano Zapata,Hidalgo,,TRUE,"EMILIANO ZAPATA, HIDALGO",345,758.8239,700.3365,2085.384098
480,"Epazoyucan, Hidalgo",Epazoyucan,Hidalgo,,TRUE,"EPAZOYUCAN, HIDALGO",537,1076.819,683.7966,2416.501778
481,"Francisco I. Madero, Hidalgo",Francisco I. Madero,Hidalgo,,TRUE,"FRANCISCO I. MADERO, HIDALGO",1534,2891.7634,2841.4543,6810.260542
497,"Mineral del Monte, Hidalgo",Mineral del Monte,Hidalgo,,TRUE,"MINERAL DEL MONTE, HIDALGO",323,736.6939,688.1058,670.3025901
499,"Mixquiahuala de Juarez, Hidalgo",Mixquiahuala de Juarez,Hidalgo,,TRUE,"MIXQUIAHUALA DE JUAREZ, HIDALGO",1296,3379.9193,3365.6566,9746.003945
506,"Pachuca de Soto, Hidalgo",Pachuca de Soto,Hidalgo,,TRUE,"PACHUCA DE SOTO, HIDALGO",C,1390.2449,1302.4068,417.24905
509,"Mineral de la Reforma, Hidalgo",Mineral de la Reforma,Hidalgo,,TRUE,"MINERAL DE LA REFORMA, HIDALGO",219,1029.6459,967.272,4468.040324
510,"San Agustin Tlaxiaca, Hidalgo",San Agustin Tlaxiaca,Hidalgo,,TRUE,"SAN AGUSTIN TLAXIACA, HIDALGO",2081,5056.1799,3916.5208,1413.710761
515,"Singuilucan, Hidalgo",Singuilucan,Hidalgo,,TRUE,"SINGUILUCAN, HIDALGO",881,2199.2312,2047.2083,1501.418297
519,"Tepeapulco, Hidalgo",Tepeapulco,Hidalgo,,TRUE,"TEPEAPULCO, HIDALGO",735,1273.8681,1151.1487,1310.73466
