ORD,Name,Municipio,State,NOM,InstAG,LocationInsecure,Year,TimeSeries,TimeSeriesAvg,TimeAvg,ExactReport,HP,Yield,Period,Cite,NOM,Yield,Yield1960_T,Yield1960_L,Yield1960_S,Yield1960_E,Yield1990,Yield2007
1,Central Mexico1,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,100,1152.60,C16 Sample,Gibson (1964: 310) Normal,,1152.60,,,,,,
2,Central Mexico2,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,200,2305.20,C16 Sample,Gibson (1964: 310) Good,,2305.20,,,,,,
3,Central Mexico3,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,300,3457.80,C16 Sample,Gibson (1964: 310) High,,3457.80,,,,,,
4,Central Mexico4,,,,,FALSE,,FALSE,FALSE,FALSE,FALSE,400,4610.40,C16 Sample,Gibson (1964: 310) High,,4610.40,,,,,,
5,Puebla/Cholula,San Andres Cholula,Puebla,"SAN ANDRES CHOLULA, PUEBLA",,FALSE,,FALSE,FALSE,FALSE,FALSE,300,3457.80,C16 Sample,Motolinia c.1550,"SAN ANDRES CHOLULA, PUEBLA",3457.80,1047.535211,791.6666667,1101.970865,954.7461369,1376.5,2944.988937
6,"Santa Ana Chiautempan, Tlax.1",Chiautempan,Tlaxcala,"CHIAUTEMPAN, TLAXCALA",,FALSE,,FALSE,FALSE,FALSE,FALSE,300,3457.80,C16 Sample,Assadourian (1999) late 16th century,"CHIAUTEMPAN, TLAXCALA",3457.80,792.1052632,585.1851852,915.4135338,614.6095718,1330.1,2185.753991
7,"Santa Ana Chiautempan, Tlax.2",Chiautempan,Tlaxcala,"CHIAUTEMPAN, TLAXCALA",,FALSE,,FALSE,FALSE,FALSE,FALSE,600,6915.60,C16 Sample,Assadourian (1999) late 16th century,"CHIAUTEMPAN, TLAXCALA",6915.60,792.1052632,585.1851852,915.4135338,614.6095718,1330.1,2185.753991
8,Chiconautla,Acolman,Mexico,"ACOLMAN, MEXICO",,FALSE,1539,TRUE,FALSE,FALSE,TRUE,75,867.20,C16 Sample,Offner (1980),"ACOLMAN, MEXICO",867.20,671.4175655,705.8823529,1153.846154,570.1357466,1323.5,3399.187837
9,Chiconautla,Acolman,Mexico,"ACOLMAN, MEXICO",,FALSE,1540,TRUE,FALSE,FALSE,TRUE,48,555.00,C16 Sample,Offner (1980),"ACOLMAN, MEXICO",555.00,671.4175655,705.8823529,1153.846154,570.1357466,1323.5,3399.187837
10,Chiconautla,Acolman,Mexico,"ACOLMAN, MEXICO",,FALSE,1544,TRUE,FALSE,FALSE,TRUE,120,1387.40,C16 Sample,Offner (1980),"ACOLMAN, MEXICO",1387.40,671.4175655,705.8823529,1153.846154,570.1357466,1323.5,3399.187837
11,Chiconautla,Acolman,Mexico,"ACOLMAN, MEXICO",,FALSE,1546,TRUE,FALSE,FALSE,TRUE,79,913.40,C16 Sample,Offner (1980),"ACOLMAN, MEXICO",913.40,671.4175655,705.8823529,1153.846154,570.1357466,1323.5,3399.187837
12,Chiconautla,Acolman,Mexico,"ACOLMAN, MEXICO",,FALSE,1551,TRUE,FALSE,TRUE,TRUE,59,682.20,C16 Sample,Offner (1980),"ACOLMAN, MEXICO",682.20,671.4175655,705.8823529,1153.846154,570.1357466,1323.5,3399.187837
13,Chiconautla,Acolman,Mexico,"ACOLMAN, MEXICO",,FALSE,1552,TRUE,FALSE,TRUE,TRUE,59,682.20,C16 Sample,Offner (1980),"ACOLMAN, MEXICO",682.20,671.4175655,705.8823529,1153.846154,570.1357466,1323.5,3399.187837
14,Chiconautla,Acolman,Mexico,"ACOLMAN, MEXICO",,FALSE,1553,TRUE,FALSE,TRUE,TRUE,59,682.20,C16 Sample,Offner (1980),"ACOLMAN, MEXICO",682.20,671.4175655,705.8823529,1153.846154,570.1357466,1323.5,3399.187837
15,Chiconautla,Acolman,Mexico,"ACOLMAN, MEXICO",,FALSE,1554,TRUE,FALSE,TRUE,TRUE,59,682.20,C16 Sample,Offner (1980),"ACOLMAN, MEXICO",682.20,671.4175655,705.8823529,1153.846154,570.1357466,1323.5,3399.187837
16,Chiconautla,Acolman,Mexico,"ACOLMAN, MEXICO",,FALSE,1555,TRUE,FALSE,FALSE,TRUE,45,520.30,C16 Sample,Offner (1980),"ACOLMAN, MEXICO",520.30,671.4175655,705.8823529,1153.846154,570.1357466,1323.5,3399.187837
17,Chiconautla,Acolman,Mexico,"ACOLMAN, MEXICO",,FALSE,1556,TRUE,FALSE,FALSE,TRUE,83,959.60,C16 Sample,Offner (1980),"ACOLMAN, MEXICO",959.60,671.4175655,705.8823529,1153.846154,570.1357466,1323.5,3399.187837
18,Chiconautla,Acolman,Mexico,"ACOLMAN, MEXICO",,FALSE,1558,TRUE,FALSE,FALSE,TRUE,89,1029.00,C16 Sample,Offner (1980),"ACOLMAN, MEXICO",1029.00,671.4175655,705.8823529,1153.846154,570.1357466,1323.5,3399.187837
19,Chiconautla,Acolman,Mexico,"ACOLMAN, MEXICO",,FALSE,1559,TRUE,FALSE,FALSE,TRUE,25,289.10,C16 Sample,Offner (1980),"ACOLMAN, MEXICO",289.10,671.4175655,705.8823529,1153.846154,570.1357466,1323.5,3399.187837
20,Chiconautla,Acolman,Mexico,"ACOLMAN, MEXICO",,FALSE,1560,TRUE,FALSE,FALSE,TRUE,49,566.50,C16 Sample,Offner (1980),"ACOLMAN, MEXICO",566.50,671.4175655,705.8823529,1153.846154,570.1357466,1323.5,3399.187837
