Location,State,Region,Size,NOM,Yield,Series,,,,,
ALVARO OBREGON,Distrito Federal,BOM,Large,"ALVARO OBREGON, DISTRITO FEDERAL",729.9270073,AG Census 1960,,,,,
ALVARO OBREGON,Distrito Federal,BOM,Ejido,"ALVARO OBREGON, DISTRITO FEDERAL",948.4536082,AG Census 1960,,,,,
ALVARO OBREGON,Distrito Federal,BOM,Total,"ALVARO OBREGON, DISTRITO FEDERAL",1074.013158,AG Census 1960,,,,,
ALVARO OBREGON,Distrito Federal,BOM,Small,"ALVARO OBREGON, DISTRITO FEDERAL",1232.620321,AG Census 1960,,,,,
AZCAPOTZALCO,Distrito Federal,BOM,Large,"AZCAPOTZALCO, DISTRITO FEDERAL",915.8878505,AG Census 1960,,,,,
AZCAPOTZALCO,Distrito Federal,BOM,Small,"AZCAPOTZALCO, DISTRITO FEDERAL",1028.169014,AG Census 1960,,,,,
AZCAPOTZALCO,Distrito Federal,BOM,Total,"AZCAPOTZALCO, DISTRITO FEDERAL",1051.886792,AG Census 1960,,,,,
AZCAPOTZALCO,Distrito Federal,BOM,Ejido,"AZCAPOTZALCO, DISTRITO FEDERAL",1154.285714,AG Census 1960,,,,,
COYOACAN,Distrito Federal,BOM,Large,"COYOACAN, DISTRITO FEDERAL",972.972973,AG Census 1960,,,,,
COYOACAN,Distrito Federal,BOM,Ejido,"COYOACAN, DISTRITO FEDERAL",980.861244,AG Census 1960,,,,,
COYOACAN,Distrito Federal,BOM,Total,"COYOACAN, DISTRITO FEDERAL",1019.886364,AG Census 1960,,,,,
COYOACAN,Distrito Federal,BOM,Small,"COYOACAN, DISTRITO FEDERAL",1437.5,AG Census 1960,,,,,
CUAJIMALPA DE MORELOS,Distrito Federal,BOM,Ejido,"CUAJIMALPA DE MORELOS, DISTRITO FEDERAL",698.4126984,AG Census 1960,,,,,
CUAJIMALPA DE MORELOS,Distrito Federal,BOM,Total,"CUAJIMALPA DE MORELOS, DISTRITO FEDERAL",920.7606973,AG Census 1960,,,,,
CUAJIMALPA DE MORELOS,Distrito Federal,BOM,Small,"CUAJIMALPA DE MORELOS, DISTRITO FEDERAL",944.4444444,AG Census 1960,,,,,
CUAJIMALPA DE MORELOS,Distrito Federal,BOM,Large,"CUAJIMALPA DE MORELOS, DISTRITO FEDERAL",1000,AG Census 1960,,,,,
GUSTAVO A. MADERO,Distrito Federal,BOM,Ejido,"GUSTAVO A. MADERO, DISTRITO FEDERAL",912.6794258,AG Census 1960,,,,,
GUSTAVO A. MADERO,Distrito Federal,BOM,Large,"GUSTAVO A. MADERO, DISTRITO FEDERAL",916.6666667,AG Census 1960,,,,,
GUSTAVO A. MADERO,Distrito Federal,BOM,Total,"GUSTAVO A. MADERO, DISTRITO FEDERAL",1045.27163,AG Census 1960,,,,,
GUSTAVO A. MADERO,Distrito Federal,BOM,Small,"GUSTAVO A. MADERO, DISTRITO FEDERAL",2689.189189,AG Census 1960,,,,,
IZTACALCO,Distrito Federal,BOM,Small,"IZTACALCO, DISTRITO FEDERAL",1185.840708,AG Census 1960,,,,,
IZTACALCO,Distrito Federal,BOM,Total,"IZTACALCO, DISTRITO FEDERAL",1198.58156,AG Census 1960,,,,,
IZTACALCO,Distrito Federal,BOM,Large,"IZTACALCO, DISTRITO FEDERAL",1250,AG Census 1960,,,,,
