"","Year","Estado_ID","Estado","ddr_ID","ddr","Cader_ID","Cader","Municipio_ID","Municipio","EstadoMunicipio","Cycle_ID","Cycle","AGType_ID","AGType","Units_ID","Units","Cultigen_ID","Cultigen","Planted","Harvested","Lost","Product","Yield","Price","Value","ORD","Name","Region","INCLUDE","NOM","AvgYield","sdYield","cvYield","n","zYield","AvgYield_T","sdYield_T","cvYield_T","n_T","zYield_T"
"1","2003",9,"Distrito Federal",42,"Xochimilco",1,"San Mateo Xalpa",12,"Tlalpan","Tlalpan, Distrito Federal","2","Primavera-Verano","2","Temporal",200201,"Tonelada",7490000,"Maiz grano",695,695,0,1153360,1660,3000,3460080,11,"Tlalpan","BOM",TRUE,"TLALPAN, DISTRITO FEDERAL",1390.52631578947,222.07290304989,15.970420734095,19,1.21344693796337,1390.52631578947,222.07290304989,15.970420734095,19,1.21344693796337
"2","2003",9,"Distrito Federal",42,"Xochimilco",1,"San Mateo Xalpa",13,"Xochimilco","Xochimilco, Distrito Federal","2","Primavera-Verano","2","Temporal",200201,"Tonelada",7490000,"Maiz grano",678.2,663.2,15,990360,1490,3003.13,2974179.83,12,"Xochimilco","BOM",TRUE,"XOCHIMILCO, DISTRITO FEDERAL",1253.68421052632,171.114338847054,13.64891871576,19,1.38104025101549,1253.68421052632,171.114338847054,13.64891871576,19,1.38104025101549
"3","2003",9,"Distrito Federal",42,"Xochimilco",2,"San Antonio Tecomitl",9,"Milpa Alta","Milpa Alta, Distrito Federal","2","Primavera-Verano","2","Temporal",200201,"Tonelada",7490000,"Maiz grano",3008.2,3008.2,0,3869600,1290,2000,7739200,8,"Milpa Alta","BOM",TRUE,"MILPA ALTA, DISTRITO FEDERAL",1289.47368421053,228.727729558543,17.7380688229074,19,0.00230105807673418,1289.47368421053,228.727729558543,17.7380688229074,19,0.00230105807673418
"4","2003",9,"Distrito Federal",42,"Xochimilco",2,"San Antonio Tecomitl",11,"Tlahuac","Tlahuac, Distrito Federal","2","Primavera-Verano","2","Temporal",200201,"Tonelada",7490000,"Maiz grano",1816.2,1816.2,0,2791760,1540,2162.97,6038493.13,10,"Tlahuac","BOM",TRUE,"TLAHUAC, DISTRITO FEDERAL",1313.68421052632,204.320296656331,15.5532277102175,19,1.10765202076008,1313.68421052632,204.320296656331,15.5532277102175,19,1.10765202076008
"5","2003",9,"Distrito Federal",42,"Xochimilco",3,"San Nicolas Totolapan",4,"Cuajimalpa de Morelos","Cuajimalpa de Morelos, Distrito Federal","2","Primavera-Verano","2","Temporal",200201,"Tonelada",7490000,"Maiz grano",98.4,98.4,0,194550,1980,2000,389100,3,"Cuajimalpa de Morelos","BOM",TRUE,"CUAJIMALPA DE MORELOS, DISTRITO FEDERAL",1735.78947368421,275.747787126684,15.8860156319193,19,0.885630049330528,1735.78947368421,275.747787126684,15.8860156319193,19,0.885630049330528
"6","2003",9,"Distrito Federal",42,"Xochimilco",3,"San Nicolas Totolapan",8,"La Magdalena Contreras","La Magdalena Contreras, Distrito Federal","2","Primavera-Verano","2","Temporal",200201,"Tonelada",7490000,"Maiz grano",259.4,259.4,0,384050,1480,2000,768100,7,"La Magdalena Contreras","BOM",TRUE,"LA MAGDALENA CONTRERAS, DISTRITO FEDERAL",1728.42105263158,279.210457419065,16.1540764036609,19,-0.889726892495023,1728.42105263158,279.210457419065,16.1540764036609,19,-0.889726892495023
"7","2003",9,"Distrito Federal",42,"Xochimilco",3,"San Nicolas Totolapan",10,"Alvaro Obregon","Alvaro Obregon, Distrito Federal","2","Primavera-Verano","2","Temporal",200201,"Tonelada",7490000,"Maiz grano",65.6,65.6,0,108580,1660,2000,217160,9,"alvaro Obregon","BOM",TRUE,"ALVARO OBREGON, DISTRITO FEDERAL",1746.31578947368,304.962848854228,17.4632131652511,19,-0.283037064344002,1746.31578947368,304.962848854228,17.4632131652511,19,-0.283037064344002
"8","2003",13,"Hidalgo",61,"Tulancingo",1,"Tulancingo",57,"Singuilucan","Singuilucan, Hidalgo","2","Primavera-Verano","2","Temporal",200201,"Tonelada",7490000,"Maiz grano",2759,2759,0,3821000,1380,1500,5731500,73,"Singuilucan","Pachuca",TRUE,"SINGUILUCAN, HIDALGO",1583.68421052632,596.947890209632,37.6936188567066,19,-0.341209364949405,1583.68421052632,596.947890209632,37.6936188567066,19,-0.341209364949405
"9","2003",13,"Hidalgo",62,"Pachuca",1,"Pachuca",22,"Epazoyucan","Epazoyucan, Hidalgo","2","Primavera-Verano","1","Riego",200201,"Tonelada",7490000,"Maiz grano",112.5,112.5,0,202500,1800,1600,324000,38,"Epazoyucan","Pachuca",TRUE,"EPAZOYUCAN, HIDALGO",2835.78947368421,955.006200034986,33.6769075736168,19,-1.08458926617049,1866.05263157895,1226.43526393141,65.7235087144177,38,-0.0538574138574682
"10","2003",13,"Hidalgo",62,"Pachuca",1,"Pachuca",22,"Epazoyucan","Epazoyucan, Hidalgo","2","Primavera-Verano","2","Temporal",200201,"Tonelada",7490000,"Maiz grano",800,800,0,480000,600,1600,768000,38,"Epazoyucan","Pachuca",TRUE,"EPAZOYUCAN, HIDALGO",896.315789473684,441.074578303637,49.2097298166124,19,-0.671804279932224,1866.05263157895,1226.43526393141,65.7235087144177,38,-1.0323028608298
"11","2003",13,"Hidalgo",62,"Pachuca",1,"Pachuca",48,"Pachuca de Soto","Pachuca de Soto, Hidalgo","2","Primavera-Verano","1","Riego",200201,"Tonelada",7490000,"Maiz grano",28.25,28.25,0,84750,3000,1600,135600,64,"Pachuca de Soto","Pachuca",TRUE,"PACHUCA DE SOTO, HIDALGO",2879.16666666667,555.934239625406,19.3088592634005,12,0.217351846172943,1648.70967741935,1056.33562196707,64.0704446898439,31,1.27922441928477
"12","2003",13,"Hidalgo",62,"Pachuca",1,"Pachuca",48,"Pachuca de Soto","Pachuca de Soto, Hidalgo","2","Primavera-Verano","2","Temporal",200201,"Tonelada",7490000,"Maiz grano",550,550,0,412500,750,1600,660000,64,"Pachuca de Soto","Pachuca",TRUE,"PACHUCA DE SOTO, HIDALGO",871.578947368421,155.036309650164,17.787982387398,19,-0.784196602994236,1648.70967741935,1056.33562196707,64.0704446898439,31,-0.850780432591878
"13","2003",13,"Hidalgo",62,"Pachuca",1,"Pachuca",51,"Mineral de La Reforma","Mineral de La Reforma, Hidalgo","2","Primavera-Verano","1","Riego",200201,"Tonelada",7490000,"Maiz grano",650,650,0,4200000,6460,1500,6300000,67,"Mineral de la Reforma","Pachuca",TRUE,"MINERAL DE LA REFORMA, HIDALGO",5289.47368421053,1324.49350354604,25.0401756889302,19,0.883753912462118,3183.68421052632,2353.28456033394,73.9170220637211,38,1.39223103091653
"14","2003",13,"Hidalgo",62,"Pachuca",1,"Pachuca",51,"Mineral de La Reforma","Mineral de La Reforma, Hidalgo","2","Primavera-Verano","2","Temporal",200201,"Tonelada",7490000,"Maiz grano",400,307,93,368400,1200,1500,552600,67,"Mineral de la Reforma","Pachuca",TRUE,"MINERAL DE LA REFORMA, HIDALGO",1077.89473684211,517.564584776822,48.016245658006,19,0.235922755824855,3183.68421052632,2353.28456033394,73.9170220637211,38,-0.842942771971793
"15","2003",13,"Hidalgo",62,"Pachuca",1,"Pachuca",52,"San Agustin Tlaxiaca","San Agustin Tlaxiaca, Hidalgo","2","Primavera-Verano","1","Riego",200201,"Tonelada",7490000,"Maiz grano",115,115,0,201250,1750,1600,322000,68,"San Agustin Tlaxiaca","Pachuca",TRUE,"SAN AGUSTIN TLAXIACA, HIDALGO",3036.11111111111,1060.95483570164,34.944532557419,18,-1.21222041488747,1861.89189189189,1382.54764402099,74.2549903161222,37,-0.0809316715961169
"16","2003",13,"Hidalgo",62,"Pachuca",1,"Pachuca",52,"San Agustin Tlaxiaca","San Agustin Tlaxiaca, Hidalgo","2","Primavera-Verano","2","Temporal",200201,"Tonelada",7490000,"Maiz grano",1800,1450,350,1015000,700,1600,1624000,68,"San Agustin Tlaxiaca","Pachuca",TRUE,"SAN AGUSTIN TLAXIACA, HIDALGO",749.473684210526,273.444564445083,36.4848786829816,19,-0.180927656437151,1861.89189189189,1382.54764402099,74.2549903161222,37,-0.840399169545185
"17","2003",13,"Hidalgo",62,"Pachuca",1,"Pachuca",66,"Villa de Tezontepec","Villa de Tezontepec, Hidalgo","2","Primavera-Verano","1","Riego",200201,"Tonelada",7490000,"Maiz grano",120,120,0,3e+05,2500,1500,450000,82,"Villa de Tezontepec","Pachuca",TRUE,"VILLA DE TEZONTEPEC, HIDALGO",3004.21052631579,663.570441621801,22.0880139993241,19,-0.759844765061374,2053.94736842105,1084.46409600937,52.7990206897581,38,0.411311571512914
"18","2003",13,"Hidalgo",62,"Pachuca",1,"Pachuca",66,"Villa de Tezontepec","Villa de Tezontepec, Hidalgo","2","Primavera-Verano","2","Temporal",200201,"Tonelada",7490000,"Maiz grano",280,270,10,243000,900,1400,340200,82,"Villa de Tezontepec","Pachuca",TRUE,"VILLA DE TEZONTEPEC, HIDALGO",1103.68421052632,266.087089467502,24.1089876007751,19,-0.765479493702351,2053.94736842105,1084.46409600937,52.7990206897581,38,-1.0640715286632
"19","2003",13,"Hidalgo",62,"Pachuca",1,"Pachuca",69,"Tizayuca","Tizayuca, Hidalgo","2","Primavera-Verano","1","Riego",200201,"Tonelada",7490000,"Maiz grano",291,291,0,640200,2200,1500,960300,85,"Tizayuca","Tula",TRUE,"TIZAYUCA, HIDALGO",3890,1562.72838330914,40.1729661519059,16,-1.08144193069646,2314.85714285714,1809.6723321032,78.1764152352653,35,-0.0634684748280678
"20","2003",13,"Hidalgo",62,"Pachuca",1,"Pachuca",69,"Tizayuca","Tizayuca, Hidalgo","2","Primavera-Verano","2","Temporal",200201,"Tonelada",7490000,"Maiz grano",800,800,0,720000,900,1500,1080000,85,"Tizayuca","Tula",TRUE,"TIZAYUCA, HIDALGO",988.421052631579,297.101986939291,30.0582414901306,19,-0.297611784904174,2314.85714285714,1809.6723321032,78.1764152352653,35,-0.781830565543762
"21","2003",13,"Hidalgo",62,"Pachuca",1,"Pachuca",75,"Tolcayuca","Tolcayuca, Hidalgo","2","Primavera-Verano","1","Riego",200201,"Tonelada",7490000,"Maiz grano",20,20,0,60000,3000,1600,96000,91,"Tolcayuca","Pachuca",TRUE,"TOLCAYUCA, HIDALGO",2989.28571428571,665.333511345011,22.2572739756993,14,0.0161036315345461,1800,1149.15186115674,63.8417700642634,33,1.04424840663972
