"","cult","cult.1"
"1","Clavel (planta)","Clavel (planta)"
"2","Nochebuena (planta)","Nochebuena (planta)"
"3","Avena forrajera seca","Avena forrajera seca"
"4","Calabacita","Calabacita"
"5","Ebo (janamargo o veza)","Ebo (janamargo o veza)"
"6","Elote","Elote"
"7","Espinaca","Espinaca"
"8","Frijol","Frijol"
"9","Haba verde","Haba verde"
"10","Maiz grano","Maiz grano"
"11","Papa","Papa"
"12","Pastos y praderas seco","Pastos y praderas seco"
"13","Rabano","Rabano"
"14","Zanahoria","Zanahoria"
"15","Alheli (gruesa)","Alheli (gruesa)"
"16","Flores (gruesa)","Flores (gruesa)"
"17","Capulin","Capulin"
"18","Chabacano","Chabacano"
"19","Ciruela","Ciruela"
"20","Durazno","Durazno"
"21","Higo","Higo"
"22","Manzana","Manzana"
"23","Pera","Pera"
"24","Tejocote","Tejocote"
"25","Rosa (gruesa)","Rosa (gruesa)"
"26","Acelga","Acelga"
"27","Apio","Apio"
"28","Brocoli","Brocoli"
"29","Col (repollo)","Col (repollo)"
"30","Coliflor","Coliflor"
"31","Hortalizas","Hortalizas"
"32","Lechuga","Lechuga"
"33","Romerito","Romerito"
"34","Verdolaga","Verdolaga"
"35","Flores (planta)","Flores (planta)"
"36","Geranio (planta)","Geranio (planta)"
"37","Rosa (planta)","Rosa (planta)"
"38","Amaranto","Amaranto"
"39","Chile verde","Chile verde"
"40","Remolacha forrajera","Remolacha forrajera"
"41","Alfalfa verde","Alfalfa verde"
"42","Frutales varios","Frutales varios"
"43","Maiz forrajero en verde","Maiz forrajero en verde"
"44","Membrillo","Membrillo"
"45","Nopalitos","Nopalitos"
"46","Nuez","Nuez"
"47","Betabel","Betabel"
"48","Tomate verde","Tomate verde"
"49","Pastos y praderas","Pastos y praderas"
"50","Avena forrajera en verde","Avena forrajera en verde"
"51","Cebada grano","Cebada grano"
"52","Chicharo","Chicharo"
"53","Trigo grano","Trigo grano"
"54","Tuna","Tuna"
"55","Maguey pulquero (miles de lts.)","Maguey pulquero (miles de lts.)"
"56","Tomate rojo (jitomate)","Tomate rojo (jitomate)"
"57","Arvejon","Arvejon"
"58","Avena grano","Avena grano"
"59","Haba grano","Haba grano"
"60","Alcachofa","Alcachofa"
"61","Cebada forrajera en verde","Cebada forrajera en verde"
"62","Frambuesa","Frambuesa"
"63","Sorgo grano","Sorgo grano"
"64","Nabo forrajero","Nabo forrajero"
"65","Semilla de cilantro","Semilla de cilantro"
"66","Pepino","Pepino"
"67","Nube","Nube"
"68","Cilantro","Cilantro"
"69","Perejil","Perejil"
"70","Alheli (manojo)","Alheli (manojo)"
"71","Nube (manojo)","Nube (manojo)"
"72","Zempoalxochitl (manojo)","Zempoalxochitl (manojo)"
"73","Alfalfa achicalada","Alfalfa achicalada"
"74","Nabo","Nabo"
"75","Cebolla","Cebolla"
"76","Poro (leek)","Poro (leek)"
"77","Sorgo forrajero en verde","Sorgo forrajero en verde"
"78","Ejote","Ejote"
"79","Agapando (gruesa)","Agapando (gruesa)"
"80","Alcatraz (gruesa)","Alcatraz (gruesa)"
"81","Crisantemo (gruesa)","Crisantemo (gruesa)"
"82","Girasol flor (gruesa)","Girasol flor (gruesa)"
"83","Zarzamora","Zarzamora"
"84","Epazote","Epazote"
"85","Gladiola (gruesa)","Gladiola (gruesa)"
"86","Avena forrajera achicalada","Avena forrajera achicalada"
"87","Chilacayote","Chilacayote"
"88","Manzanilla","Manzanilla"
"89","Aguacate","Aguacate"
"90","Fresa","Fresa"
"91","Guayaba","Guayaba"
"92","Limon","Limon"
"93","Nispero","Nispero"
"94","Mejorana","Mejorana"
"95","Romero","Romero"
"96","Statice (manojo)","Statice (manojo)"
"97","Begonia (planta)","Begonia (planta)"
"98","Calancoe (planta)","Calancoe (planta)"
"99","Cineraria (planta)","Cineraria (planta)"
"100","Cyclamen (planta)","Cyclamen (planta)"
"101","Petunia (planta)","Petunia (planta)"
"102","Lilium (gruesa)","Lilium (gruesa)"
"103","Aster (manojo)","Aster (manojo)"
"104","Solidago (manojo)","Solidago (manojo)"
"105","Ave del paraiso (gruesa)","Ave del paraiso (gruesa)"
"106","Clavel (gruesa)","Clavel (gruesa)"
"107","Gerbera (gruesa)","Gerbera (gruesa)"
"108","Dolar (manojo)","Dolar (manojo)"
"109","Arroz palay","Arroz palay"
"110","Cacahuate","Cacahuate"
"111","Jicama","Jicama"
"112","Agave","Agave"
"113","Lima","Lima"
"114","Alstroemeria (gruesa)","Alstroemeria (gruesa)"
"115","Zapote","Zapote"
