ORD,Estado_ID,Estado,ddr_ID,ddr,Cader_ID,Cader,Municipio_ID,Municipio,EstadoMunicipio,Name,Region,INCLUDE,NOM
1,9,Distrito Federal,0,CDMX,,,2,Azcapotzalco,"Azcapotzalco, Distrito Federal",Azcapotzalco,BOM,TRUE,"AZCAPOTZALCO, DISTRITO FEDERAL"
2,9,Distrito Federal,0,CDMX,,,3,Coyoacan,"Coyoacan, Distrito Federal",Coyoacan,BOM,TRUE,"COYOACAN, DISTRITO FEDERAL"
3,9,Distrito Federal,42,Xochimilco,3,San Nicolas Totolapan,4,Cuajimalpa de Morelos,"Cuajimalpa de Morelos, Distrito Federal",Cuajimalpa de Morelos,BOM,TRUE,"CUAJIMALPA DE MORELOS, DISTRITO FEDERAL"
4,9,Distrito Federal,0,CDMX,,,5,Gustavo A. Madero,"Gustavo A. Madero, Distrito Federal",Gustavo A. Madero,BOM,TRUE,"GUSTAVO A. MADERO, DISTRITO FEDERAL"
5,9,Distrito Federal,0,CDMX,,,6,Iztacalco,"Iztacalco, Distrito Federal",Iztacalco,BOM,TRUE,"IZTACALCO, DISTRITO FEDERAL"
6,9,Distrito Federal,0,CDMX,,,7,Iztapalapa,"Iztapalapa, Distrito Federal",Iztapalapa,BOM,TRUE,"IZTAPALAPA, DISTRITO FEDERAL"
7,9,Distrito Federal,42,Xochimilco,3,San Nicolas Totolapan,8,La Magdalena Contreras,"La Magdalena Contreras, Distrito Federal",La Magdalena Contreras,BOM,TRUE,"LA MAGDALENA CONTRERAS, DISTRITO FEDERAL"
8,9,Distrito Federal,42,Xochimilco,2,San Antonio Tecomitl,9,Milpa Alta,"Milpa Alta, Distrito Federal",Milpa Alta,BOM,TRUE,"MILPA ALTA, DISTRITO FEDERAL"
9,9,Distrito Federal,42,Xochimilco,3,San Nicolas Totolapan,10,Alvaro Obregon,"Alvaro Obregon, Distrito Federal",alvaro Obregon,BOM,TRUE,"ALVARO OBREGON, DISTRITO FEDERAL"
10,9,Distrito Federal,42,Xochimilco,2,San Antonio Tecomitl,11,Tlahuac,"Tlahuac, Distrito Federal",Tlahuac,BOM,TRUE,"TLAHUAC, DISTRITO FEDERAL"
11,9,Distrito Federal,42,Xochimilco,1,San Mateo Xalpa,12,Tlalpan,"Tlalpan, Distrito Federal",Tlalpan,BOM,TRUE,"TLALPAN, DISTRITO FEDERAL"
